iter	Passed	Remaining
226	26626	90670
227	26772	90651
228	26896	90555
229	27007	90415
230	27143	90360
231	27263	90251
232	27373	90108
233	27506	90043
234	27633	89954
235	27741	89806
236	27875	89742
237	28011	89684
238	28144	89613
239	28253	89468
240	28374	89361
241	28481	89210
242	28596	89085
243	28738	89042
244	28860	88936
245	28940	88704
246	29052	88570
247	29181	88486
248	29292	88346
249	29423	88271
250	29571	88242
251	29684	88111
252	29806	88005
253	29940	87936
254	30059	87820
255	30171	87685
256	30292	87578
257	30440	87545
258	30555	87418
259	30676	87309
260	30819	87263
261	30938	87146
262	31050	87012
263	31181	86931
264	31312	86847
265	31414	86686
266	31532	86567
267	31669	86500
268	31777	86354
269	31888	86218
270	32011	86111
271	32117	85962
272	32232	85834
273	32391	85824
274	32501	85685
275	32639	85619
276	32782	85564
277	32906	85462
278	33012	85313
279	33134	85202
280	33276	85145
281	33381	84991
282	33497	84868
283	33649	84833
284	33758	84693
285	33879	84579
286	34022	84522
287	34129	84375
288	34235	84226
289	34368	84143
290	34499	84056
291	34606	83908
292	34719	83778
293	34859	83710
294	34968	83568
295	35084	83443
296	35229	83388
297	35357	83291
298	35462	83141
299	35599	83065
300	35726	82966
301	35829	82810
302	35937	82667
303	36066	82574
304	36183	82450
305	36298	82323
306	36415	82200
307	36556	82134
308	36670	82003
309	36776	81858
310	36927	81811
311	37038	81673
312	37144	81528
313	37278	81443
314	37411	81354
315	37517	81209
316	37638	81094
317	37785	81036
318	37904	80917
319	38024	80801
320	38149	80697
321	38259	80558
322	38375	80434
323	38509	80346
324	38645	80263
325	38760	80136
326	38884	80028
327	39027	79959
328	39144	79835
329	39253	79697
330	39407	79647
331	39515	79507
332	39632	79384
333	39767	79295
334	39888	79180
335	40003	79054
336	40137	78964
337	40280	78892
338	40395	78765
339	40525	78666
340	40669	78596
341	40787	78474
342	40898	78339
343	41044	78270
344	41163	78150
345	41281	78029
346	41404	77917
347	41541	77830
348	41650	77691
349	41776	77585
350	41927	77524
351	42039	77391
352	42157	77268
353	42303	77198
354	42415	77065
355	42535	76945
356	42688	76887
357	42812	76776
358	42930	76653
359	43063	76556
360	43196	76461
361	43283	76284
362	43389	76141
363	43532	76062
364	43642	75926
365	43753	75792
366	43890	75701
367	44012	75586
368	44123	75451
369	44249	75343
370	44386	75253
371	44492	75111
372	44629	75020
373	44763	74925
374	44874	74790
375	44989	74662
376	45134	74584
377	45249	74457
378	45371	74341
379	45519	74268
380	45648	74164
381	45772	74050
382	45901	73945
383	46030	73839
384	46136	73699
385	46267	73596
386	46408	73509
387	46521	73379
388	46655	73281
389	46800	73200
390	46916	73074
391	47032	72947
392	47167	72851
393	47280	72720
394	47387	72581
395	47540	72510
396	47667	72401
397	47774	72261
398	47887	72131
399	48030	72045
400	48148	71921
401	48252	71779
402	48394	71690
403	48511	71566
404	48630	71445
405	48773	71357
406	48905	71255
407	49024	71133
408	49159	71034
409	49295	70936
410	49408	70807
411	49517	70671
412	49650	70569
413	49761	70434
414	49876	70307
415	50005	70200
416	50139	70099
417	50260	69979
418	50397	69883
419	50541	69795
420	50668	69684
421	50781	69554
422	50929	69471
423	51035	69331
424	51146	69198
425	51291	69111
426	51399	68973
427	51515	68847
428	51626	68715
429	51781	68640
430	51892	68507
431	51993	68362
432	52144	68282
433	52274	68174
434	52389	68045
435	52514	67931
436	52647	67827
437	52751	67685
438	52861	67552
439	53012	67470
440	53123	67338
441	53234	67205
442	53371	67106
443	53492	66986
444	53613	66865
445	53752	66768
446	53873	66649
447	53978	66509
448	54087	66374
449	54228	66279
450	54347	66156
451	54461	66028
452	54590	65917
453	54720	65809
454	54840	65687
455	54978	65587
456	55113	65484
457	55226	65355
458	55358	65247
459	55496	65148
460	55621	65032
461	55745	64916
462	55905	64840
463	56015	64708
464	56142	64594
465	56290	64504
466	56408	64380
467	56533	64264
468	56679	64172
469	56814	64067
470	56933	63944
471	57057	63826
472	57199	63729
473	57317	63605
474	57448	63495
475	57602	63411
476	57720	63286
477	57838	63162
478	57990	63075
479	58111	62954
480	58220	62820
481	58368	62727
482	58501	62619
483	58636	62512
484	58771	62407
485	58903	62296
486	59031	62183
487	59180	62091
488	59317	61986
489	59439	61865
490	59562	61745
491	59702	61643
492	59820	61518
493	59948	61404
494	60085	61299
495	60204	61175
496	60332	61061
497	60468	60953
498	60589	60831
499	60701	60701
500	60840	60597
501	60981	60496
502	61097	60368
503	61228	60256
504	61374	60158
505	61487	60029
506	61594	59893
507	61752	59807
508	61870	59682
509	61985	59555
510	62105	59431
511	62234	59317
512	62351	59191
513	62483	59080
514	62621	58973
515	62732	58842
516	62849	58716
517	62992	58614
518	63106	58485
519	63217	58354
520	63363	58255
521	63490	58138
522	63606	58012
523	63724	57887
524	63871	57788
525	63988	57662
526	64116	57546
527	64259	57444
528	64364	57307
529	64479	57180
530	64650	57102
531	64763	56972
532	64877	56844
533	65011	56732
534	65146	56622
535	65261	56494
536	65377	56368
537	65516	56261
538	65636	56137
539	65755	56013
540	65901	55913
541	66020	55788
542	66132	55658
543	66256	55538
544	66397	55432
545	66507	55300
546	66631	55181
547	66768	55071
548	66894	54953
549	66992	54812
550	67109	54686
551	67248	54578
552	67362	54450
553	67491	54334
554	67644	54237
555	67741	54096
556	67858	53969
557	67992	53858
558	68122	53742
559	68227	53607
560	68352	53487
561	68493	53381
562	68609	53254
563	68725	53128
564	68865	53020
565	68966	52882
566	69064	52742
567	69186	52620
568	69320	52507
569	69443	52386
570	69561	52262
571	69704	52156
572	69817	52028
573	69931	51900
574	70083	51800
575	70197	51673
576	70311	51545
577	70483	51459
578	70686	51397
579	70797	51267
580	70938	51158
581	71031	51016
582	71141	50884
583	71262	50762
584	71387	50642
585	71486	50504
586	71580	50362
587	71714	50248
588	71821	50116
589	71929	49985
590	72049	49861
591	72166	49736
592	72262	49596
593	72369	49464
594	72495	49345
595	72601	49213
596	72705	49079
597	72846	48970
598	72946	48833
599	73032	48688
600	73144	48560
601	73276	48445
602	73385	48314
603	73495	48185
604	73640	48079
605	73756	47953
606	73866	47824
607	73983	47699
608	74104	47577
609	74210	47445
610	74324	47319
611	74467	47211
612	74575	47081
613	74685	46952
614	74822	46840
615	74950	46722
616	75047	46585
617	75170	46464
618	75285	46339
619	75391	46207
620	75502	46079
621	75630	45961
622	75740	45833
623	75847	45702
624	75984	45590
625	76116	45475
626	76228	45348
627	76351	45227
628	76489	45115
629	76604	44989
630	76712	44860
631	76862	44755
632	76971	44626
633	77073	44493
634	77216	44384
635	77332	44259
636	77440	44130
637	77547	44000
638	77715	43905
639	77829	43778
640	77943	43653
641	78079	43539
642	78186	43409
643	78299	43283
644	78441	43173
645	78572	43056
646	78693	42934
647	78823	42817
648	78955	42701
649	79053	42567
650	79168	42442
651	79294	42322
652	79415	42200
653	79527	42074
654	79659	41958
655	79792	41842
656	79905	41716
657	80018	41590
658	80149	41473
659	80254	41343
660	80362	41214
661	80489	41095
662	80606	40971
663	80735	40854
664	80868	40738
665	80990	40616
666	81097	40488
667	81203	40358
668	81333	40241
669	81451	40117
670	81560	39990
671	81694	39874
672	81804	39747
673	81909	39617
674	82020	39491
675	82165	39381
676	82278	39255
677	82389	39129
678	82527	39015
679	82650	38894
680	82768	38771
681	82879	38644
682	82999	38522
683	83102	38392
684	83221	38269
685	83358	38155
686	83471	38029
687	83579	37902
688	83728	37793
689	83842	37668
690	83949	37540
691	84081	37423
692	84221	37310
693	84326	37181
694	84422	37048
695	84562	36935
696	84672	36808
697	84787	36684
698	84926	36570
699	85043	36447
700	85160	36323
701	85287	36204
702	85418	36087
703	85520	35957
704	85621	35827
705	85773	35718
706	85880	35591
707	85988	35464
708	86118	35346
709	86240	35225
710	86357	35101
711	86484	34982
712	86623	34868
713	86724	34738
714	86854	34620
715	86995	34506
716	87100	34378
717	87212	34253
718	87346	34136
719	87455	34010
720	87573	33887
721	87731	33780
722	87862	33662
723	87972	33536
724	88097	33416
725	88211	33291
726	88319	33165
727	88440	33043
728	88588	32931
729	88694	32804
730	88794	32675
731	88932	32560
732	89045	32435
733	89144	32305
734	89246	32177
735	89384	32061
736	89497	31937
737	89606	31811
738	89760	31701
739	89873	31577
740	89985	31452
741	90106	31330
742	90230	31210
743	90336	31083
744	90435	30954
745	90561	30834
746	90677	30711
747	90788	30586
748	90908	30464
749	91029	30343
750	91129	30214
751	91235	30088
752	91348	29964
753	91457	29838
754	91574	29716
755	91705	29597
756	91836	29479
757	91941	29353
758	92053	29229
759	92186	29111
760	92291	28985
761	92417	28865
762	92558	28750
763	92673	28626
764	92787	28503
765	92953	28395
766	93056	28268
767	93152	28139
768	93262	28015
769	93377	27891
770	93473	27763
771	93568	27634
772	93713	27520
773	93830	27397
774	93915	27265
775	94036	27144
776	94144	27019
777	94225	26887
778	94323	26759
779	94450	26639
780	94539	26509
781	94628	26379
782	94745	26257
783	94847	26131
784	94944	26003
785	95038	25875
786	95173	25758
787	95281	25634
788	95377	25506
789	95504	25387
790	95616	25264
791	95722	25139
792	95841	25017
793	95948	24893
794	96054	24768
795	96180	24649
796	96315	24532
797	96427	24408
798	96524	24282
799	96657	24164
800	96758	24038
801	96855	23912
802	96961	23787
803	97079	23666
804	97169	23538
805	97267	23411
806	97416	23297
807	97535	23176
808	97629	23049
809	97722	22922
810	97852	22804
811	97962	22680
812	98052	22553
813	98180	22434
814	98289	22311
815	98383	22184
816	98490	22060
817	98608	21939
818	98706	21814
819	98795	21686
820	98925	21568
821	99056	21450
822	99159	21325
823	99256	21200
824	99380	21080
825	99581	20977
826	99760	20868
827	99898	20751
828	99987	20624
829	100092	20500
830	100231	20384
831	100339	20260
832	100447	20137
833	100557	20014
834	100686	19896
835	100806	19775
836	100927	19654
837	101079	19540
838	101199	19419
839	101316	19298
840	101452	19180
841	101568	19059
842	101691	18939
843	101960	18845
844	102093	18727
845	102195	18602
846	102310	18481
847	102439	18361
848	102525	18234
849	102616	18108
850	102734	17987
851	102836	17863
852	102925	17737
853	103030	17614
854	103197	17501
855	103289	17375
856	103386	17251
857	103514	17131
858	103635	17011
859	103731	16886
860	103831	16762
861	103988	16647
862	104089	16524
863	104187	16399
864	104322	16281
865	104452	16162
866	104551	16038
867	104671	15917
868	104813	15800
869	104914	15676
870	105044	15557
871	105187	15440
872	105294	15317
873	105399	15194
874	105555	15079
875	105666	14957
876	105769	14834
877	105882	14712
878	106032	14596
879	106150	14475
880	106277	14355
881	106411	14236
882	106514	14113
883	106616	13990
884	106745	13870
885	106845	13747
886	106929	13622
887	107025	13498
888	107153	13379
889	107263	13257
890	107382	13136
891	107495	13015
892	107600	12892
893	107705	12770
894	107820	12649
895	107940	12528
896	108043	12406
897	108158	12285
898	108265	12163
899	108387	12043
900	108492	11920
901	108603	11799
902	108686	11675
903	108787	11552
904	108891	11430
905	108983	11307
906	109083	11184
907	109207	11065
908	109337	10945
909	109437	10823
910	109563	10703
911	109678	10582
912	109788	10461
913	109911	10341
914	110025	10220
915	110147	10100
916	110267	9980
917	110392	9860
918	110513	9740
919	110621	9619
920	110737	9498
921	110876	9379
922	110997	9259
923	111120	9139
924	111246	9019
925	111369	8899
926	111501	8780
927	111645	8662
928	111766	8541
929	111897	8422
930	112029	8302
931	112143	8182
932	112255	8061
933	112371	7940
934	112483	7819
935	112592	7698
936	112723	7579
937	112858	7459
938	112972	7339
939	113101	7219
940	113223	7099
941	113331	6977
942	113457	6857
943	113582	6737
944	113707	6617
945	113834	6497
946	113945	6377
947	114063	6256
948	114170	6135
949	114290	6015
950	114419	5895
951	114540	5775
952	114673	5655
953	114805	5535
954	114915	5414
955	115034	5294
956	115162	5174
957	115284	5054
958	115409	4934
959	115540	4814
960	115667	4694
961	115789	4573
962	115927	4454
963	116049	4333
964	116165	4213
965	116307	4093
966	116454	3974
967	116568	3853
968	116700	3733
969	116831	3613
970	116940	3492
971	117071	3372
972	117199	3252
973	117311	3131
974	117433	3011
975	117559	2890
976	117676	2770
977	117784	2649
978	117896	2528
979	118017	2408
980	118127	2287
981	118272	2167
982	118392	2047
983	118501	1926
984	118632	1806
985	118751	1686
986	118854	1565
987	118981	1445
988	119110	1324
989	119216	1204
990	119315	1083
991	119443	963
992	119579	842
993	119690	722
994	119818	602
995	119959	481
996	120072	361
997	120175	240
998	120315	120
999	120430	0
