iter	RMSE
128	19803.75932
129	19750.5622
130	19679.39748
131	19621.23096
132	19561.70674
133	19521.66498
134	19495.03759
135	19433.52027
136	19417.3274
137	19402.84806
138	19342.35936
139	19297.40148
140	19227.8815
141	19191.5875
142	19110.80401
143	19057.78669
144	18971.33971
145	18929.84198
146	18913.38476
147	18852.23699
148	18802.11936
149	18779.45543
150	18722.16919
151	18659.32607
152	18602.50791
153	18567.1358
154	18519.09461
155	18471.49005
156	18456.35723
157	18396.20632
158	18337.40782
159	18313.71604
160	18269.83999
161	18202.31576
162	18170.05452
163	18115.03011
164	18085.14228
165	18044.25532
166	18010.404
167	17993.94177
168	17981.80952
169	17932.08682
170	17887.49536
171	17860.84373
172	17852.34398
173	17814.59177
174	17784.50372
175	17737.26114
176	17668.45918
177	17624.82001
178	17583.41233
179	17561.14055
180	17531.83905
181	17482.91845
182	17457.66158
183	17416.41031
184	17377.08845
185	17366.43091
186	17321.74471
187	17292.53224
188	17254.98888
189	17247.67829
190	17214.97141
191	17188.95597
192	17181.90726
193	17149.87351
194	17113.02534
195	17100.95403
196	17089.80913
197	17073.95942
198	17028.93775
199	16996.42627
200	16952.85027
201	16917.96151
202	16901.40668
203	16856.04866
204	16819.42798
205	16782.43528
206	16770.02617
207	16727.013
208	16703.79444
209	16654.20231
210	16633.39653
211	16606.96628
212	16573.2211
213	16545.15111
214	16518.43104
215	16480.12949
216	16459.12124
217	16425.10716
218	16391.86988
219	16337.28953
220	16314.96232
221	16300.14026
222	16259.41341
223	16216.60607
224	16169.87583
225	16139.88674
226	16097.43352
227	16088.39337
228	16048.25994
229	16006.81605
230	15976.85841
231	15953.93674
232	15906.82284
233	15882.2009
234	15848.88984
235	15828.97037
236	15812.39565
237	15794.58441
238	15791.79289
239	15781.40405
240	15755.36708
241	15728.37593
242	15680.43978
243	15653.52643
244	15618.19277
245	15610.73215
246	15581.06985
247	15535.13169
248	15493.79729
249	15479.61404
250	15475.18241
251	15428.48475
252	15393.43008
253	15379.80744
254	15347.68767
255	15297.39516
256	15287.40536
257	15272.86052
258	15260.18596
259	15239.24499
260	15219.83276
261	15197.8604
262	15193.87428
263	15182.38406
264	15155.46224
265	15135.84332
266	15093.45252
267	15089.45131
268	15086.21466
269	15052.459
270	15032.66234
271	14999.72354
272	14980.13704
273	14976.75074
274	14943.35577
275	14925.69625
276	14908.02326
277	14897.54926
278	14893.1359
279	14889.78041
280	14870.10673
281	14844.24491
282	14812.28367
283	14756.5401
284	14734.31797
285	14690.69379
286	14681.77929
287	14656.19271
288	14628.57302
289	14605.27091
290	14602.47972
291	14596.39708
292	14563.0905
293	14559.04567
294	14519.17377
295	14514.36205
296	14495.6917
297	14471.38016
298	14448.81841
299	14445.8451
300	14437.69392
301	14412.82999
302	14384.73952
303	14373.34064
304	14359.27294
305	14344.00408
306	14313.95231
307	14276.22684
308	14249.2996
309	14235.45813
310	14207.42274
311	14175.11742
312	14163.07506
313	14161.17114
314	14139.29508
315	14131.42914
316	14119.88633
317	14096.14146
318	14033.44344
319	14030.98629
320	14002.6603
321	13982.42453
322	13944.92222
323	13941.12109
324	13906.155
325	13900.35934
326	13895.01057
327	13872.30244
328	13845.84516
329	13807.48506
330	13803.86902
331	13774.9128
332	13755.68799
333	13738.1507
334	13728.21334
335	13714.15836
336	13700.23732
337	13693.67072
338	13656.94649
339	13655.34696
340	13619.93304
341	13602.59874
342	13568.61846
343	13551.55476
344	13547.36503
345	13523.90014
346	13482.18917
347	13474.02137
348	13442.55944
349	13428.73557
350	13409.47337
351	13404.70452
352	13395.91134
353	13390.88025
354	13361.56228
355	13356.38007
356	13316.82241
357	13299.10894
358	13290.32771
359	13278.94883
360	13270.84335
361	13257.38014
362	13256.39827
363	13251.92996
364	13241.67809
365	13237.46727
366	13224.74818
367	13202.54557
368	13196.97898
369	13190.33019
370	13182.3504
371	13149.13611
372	13134.81192
373	13109.99688
374	13090.73914
375	13064.14626
376	13033.70366
377	13009.49367
378	12981.79573
379	12964.948
380	12947.83078
381	12932.07787
382	12906.53301
383	12888.34228
384	12873.08376
385	12859.07833
386	12833.21139
387	12818.86333
388	12816.10975
389	12803.16503
390	12788.05902
391	12775.54618
392	12751.11666
393	12738.36668
394	12731.6824
395	12721.45422
396	12702.39047
397	12675.76544
398	12656.11882
399	12634.50826
400	12617.20282
401	12590.33902
402	12566.1126
403	12558.01553
404	12534.45434
405	12531.98594
406	12525.46557
407	12507.97665
408	12497.80223
409	12495.58372
410	12487.96442
411	12470.99019
412	12432.07648
413	12425.71977
414	12423.09556
415	12416.84966
416	12407.65304
417	12396.18938
418	12388.34211
419	12386.60495
420	12385.11481
421	12371.54745
422	12362.31738
423	12328.93721
424	12310.73101
425	12308.58771
426	12277.97919
427	12267.60843
428	12247.78346
429	12237.18276
430	12226.06252
431	12199.62569
432	12189.75813
433	12179.46128
434	12168.91249
435	12165.44719
436	12126.95127
437	12108.09081
438	12091.18935
439	12089.30684
440	12075.32177
441	12062.82534
442	12046.22432
443	12035.88912
444	12026.69228
445	12023.34624
446	12001.19996
447	11986.27922
448	11966.5127
449	11941.40496
450	11929.11617
451	11919.56879
452	11898.77513
453	11895.88915
454	11892.67446
455	11873.04107
456	11866.88277
457	11847.67402
458	11834.6744
459	11820.47318
460	11807.5761
461	11794.48646
462	11773.50758
463	11769.0095
464	11754.73994
465	11753.1634
466	11734.06418
467	11732.57559
468	11722.80891
469	11713.51664
470	11696.41339
471	11675.18458
472	11654.56476
473	11639.90938
474	11623.32108
475	11619.7037
476	11600.57161
477	11595.61689
478	11584.00012
479	11582.16214
480	11568.87014
481	11565.08342
482	11539.42281
483	11528.48446
484	11512.47236
485	11510.76774
486	11502.69367
487	11494.2455
488	11490.77448
489	11477.87838
490	11470.68178
491	11447.73004
492	11444.16248
493	11436.23443
494	11418.10877
495	11408.75596
496	11404.72008
497	11392.58412
498	11380.25497
499	11360.06074
500	11353.66455
501	11334.37001
502	11330.89025
503	11329.84781
504	11328.53316
505	11312.83511
506	11296.4193
507	11295.78577
508	11294.67621
509	11292.45767
510	11276.80919
511	11270.53581
512	11260.20625
513	11248.41265
514	11233.05221
515	11221.34896
516	11202.75856
517	11197.79049
518	11190.8754
519	11184.42169
520	11182.37859
521	11175.50468
522	11164.16896
523	11156.26105
524	11143.91832
525	11143.34579
526	11132.24773
527	11126.57063
528	11114.80366
529	11106.50725
530	11105.42934
531	11098.94682
532	11088.56022
533	11076.16158
534	11068.03017
535	11057.12572
536	11045.01016
537	11021.7825
538	11015.10297
539	11007.8358
540	11003.0149
541	10983.10981
542	10972.68605
543	10961.82675
544	10951.64752
545	10941.42548
546	10938.0237
547	10924.87536
548	10918.50219
549	10900.19662
550	10884.38894
551	10883.16062
552	10877.28701
553	10875.81506
554	10868.26116
555	10852.14676
556	10836.51143
557	10826.48762
558	10816.69362
559	10801.9276
560	10801.68968
561	10785.73041
562	10772.92322
563	10760.22445
564	10758.3493
565	10740.06787
566	10721.03355
567	10706.58986
568	10697.62925
569	10689.3294
570	10686.46089
571	10680.67874
572	10655.94662
573	10648.72755
574	10643.81573
575	10629.73301
576	10626.44371
577	10619.17779
578	10618.72273
579	10606.44913
580	10590.52304
581	10578.88532
582	10575.51107
583	10563.42332
584	10562.78344
585	10546.43128
586	10535.0893
587	10522.42174
588	10515.20758
589	10507.15503
590	10498.82387
591	10497.22399
592	10478.21998
593	10454.127
594	10446.07374
595	10443.70849
596	10435.27421
597	10431.06385
598	10417.79172
599	10398.81084
600	10395.32254
601	10383.88075
602	10381.40534
603	10376.48592
604	10363.1027
605	10346.32919
606	10342.83165
607	10340.12242
608	10321.02581
609	10306.28594
610	10294.65218
611	10281.94212
612	10270.52962
613	10266.89659
614	10264.37973
615	10256.76741
616	10237.68111
617	10235.20215
618	10226.82573
619	10215.20551
620	10212.83539
621	10202.64236
622	10193.06891
623	10179.40091
624	10173.53528
625	10165.78706
626	10153.09472
627	10147.19086
628	10139.32778
629	10126.33246
630	10122.56651
631	10119.62845
632	10112.38536
633	10107.85669
634	10104.31701
635	10098.68885
636	10085.19174
637	10077.35498
638	10072.85268
639	10069.71861
640	10069.17536
641	10058.61677
642	10049.9979
643	10048.11883
644	10042.47734
645	10037.84921
646	10034.39205
647	10021.08389
648	10017.41201
649	10008.21092
650	9996.567955
651	9984.29074
652	9970.898015
653	9961.65885
654	9949.238397
655	9945.367996
656	9941.279355
657	9936.278103
658	9920.699544
659	9916.077629
660	9910.438027
661	9902.068675
662	9883.931667
663	9873.620842
664	9871.16511
665	9868.318972
666	9861.930904
667	9850.11802
668	9837.776663
669	9827.673666
670	9819.943363
671	9805.156178
672	9800.664882
673	9789.445349
674	9786.753771
675	9775.612357
676	9766.845849
677	9758.204268
678	9752.926853
679	9747.95857
680	9745.174897
681	9732.180972
682	9727.696231
683	9714.291096
684	9705.528436
685	9703.23945
686	9695.296466
687	9682.787771
688	9671.872891
689	9669.708905
690	9650.514903
691	9640.458768
692	9635.263435
693	9634.076454
694	9616.412446
695	9610.223593
696	9597.711064
697	9591.885872
698	9591.583954
699	9580.459995
700	9579.754999
701	9575.540676
702	9571.972735
703	9567.882499
704	9557.817411
705	9550.774366
706	9533.579662
707	9528.254728
708	9518.275634
709	9513.993344
710	9507.593682
711	9502.704645
712	9497.118601
713	9495.064578
714	9491.472762
715	9488.058389
716	9485.111868
717	9484.831133
718	9470.159173
719	9467.139817
720	9464.71089
721	9464.034144
722	9456.817404
723	9451.269886
724	9436.525042
725	9429.790008
726	9421.299225
727	9408.172021
728	9398.328969
729	9380.710265
730	9376.940587
731	9370.20527
732	9360.993391
733	9351.635122
734	9340.814438
735	9335.432531
736	9326.975123
737	9319.668605
738	9309.53986
739	9297.739566
740	9289.80366
741	9282.84132
742	9277.273754
743	9275.414105
744	9255.492867
745	9254.732755
746	9250.985703
747	9240.261605
748	9235.20033
749	9226.7366
750	9224.804986
751	9220.015692
752	9214.461593
753	9209.347791
754	9206.643026
755	9197.369724
756	9195.181674
757	9189.173563
758	9178.522698
759	9169.764185
760	9165.202717
761	9163.609249
762	9159.321921
763	9155.023032
764	9147.688247
765	9146.67885
766	9137.326715
767	9136.597289
768	9126.058984
769	9117.517758
770	9113.016422
771	9112.620042
772	9112.112329
773	9104.250755
774	9103.649557
775	9100.98534
776	9091.871881
777	9088.700237
778	9084.669652
779	9077.694972
780	9068.356812
781	9052.903842
782	9039.090153
783	9027.4065
784	9027.132617
785	9018.752601
786	9018.399123
787	9014.370248
788	9010.798335
789	9003.211388
790	8991.189655
791	8984.526142
792	8972.402273
793	8965.224406
794	8961.402505
795	8959.500892
796	8957.252075
797	8944.581534
798	8940.554888
799	8939.811808
800	8939.361459
801	8937.318262
802	8933.183133
803	8924.37778
804	8908.476707
805	8906.122746
806	8902.29542
807	8891.54577
808	8877.639881
809	8868.575993
810	8867.471194
811	8865.968972
812	8858.270251
813	8856.547261
814	8848.94678
815	8842.439969
816	8836.46237
817	8836.009598
818	8828.934033
819	8821.914768
820	8811.997322
821	8805.162976
822	8804.874211
823	8792.198701
824	8790.502871
825	8784.090527
826	8782.652363
827	8765.817704
828	8753.805317
829	8743.740956
830	8740.222021
831	8738.594756
832	8731.995109
833	8722.438779
834	8710.8234
835	8697.891502
836	8697.556313
837	8688.280418
838	8678.610114
839	8670.222389
840	8660.904617
841	8653.730278
842	8648.975353
843	8647.887897
844	8626.707089
845	8607.752449
846	8607.200256
847	8598.967576
848	8584.926155
849	8574.359255
850	8574.26474
851	8561.547948
852	8544.993367
853	8536.479959
854	8532.848944
855	8530.20013
856	8528.885299
857	8525.973615
858	8524.844203
859	8519.1561
860	8514.395409
861	8510.414434
862	8509.823056
863	8505.253663
864	8495.041868
865	8493.574391
866	8488.088882
867	8479.637361
868	8461.980826
869	8458.68661
870	8454.384103
871	8451.312488
872	8449.775758
873	8444.408403
874	8438.093426
875	8422.688996
876	8414.812014
877	8408.450155
878	8403.422093
879	8403.070875
880	8399.111945
881	8393.407038
882	8384.42642
883	8372.286995
884	8361.428137
885	8355.289769
886	8342.17727
887	8336.002117
888	8324.720903
889	8322.206982
890	8315.755545
891	8303.925306
892	8298.703745
893	8290.886151
894	8282.609521
895	8271.786211
896	8259.709032
897	8254.14791
898	8244.108105
899	8238.213004
900	8238.079678
901	8232.532472
902	8219.296551
903	8210.584809
904	8207.447835
905	8199.302669
906	8197.807997
907	8189.781868
908	8187.340921
909	8185.246224
910	8181.76434
911	8174.466332
912	8168.537588
913	8164.045429
914	8155.357487
915	8148.714307
916	8145.957638
917	8138.656166
918	8132.602799
919	8119.935003
920	8103.359753
921	8097.009367
922	8096.692362
923	8091.482649
924	8085.112581
925	8075.1362
926	8071.434129
927	8070.082433
928	8068.008003
929	8064.728802
930	8057.44815
931	8050.837335
932	8037.653935
933	8037.409663
934	8031.313074
935	8028.063392
936	8019.941629
937	8016.042141
938	8014.083085
939	8007.16308
940	8000.850707
941	7995.713649
942	7988.962203
943	7980.732388
944	7978.26214
945	7968.17198
946	7953.928023
947	7950.854412
948	7943.015388
949	7931.409708
950	7929.47429
951	7920.047224
952	7915.556796
953	7914.864148
954	7911.797414
955	7904.253586
956	7903.996313
957	7894.484777
958	7889.620501
959	7888.186545
960	7878.712039
961	7870.596998
962	7861.806393
963	7851.132853
964	7837.334435
965	7831.478721
966	7823.187107
967	7816.926636
968	7814.242298
969	7812.916827
970	7808.715841
971	7804.626366
972	7793.608743
973	7791.410026
974	7787.171439
975	7782.066206
976	7770.447295
977	7758.593876
978	7753.31425
979	7752.517399
980	7751.915907
981	7750.768593
982	7740.057557
983	7736.176586
984	7734.276074
985	7724.465826
986	7721.657457
987	7720.217885
988	7709.324429
989	7703.980238
990	7696.002936
991	7690.531306
992	7684.623712
993	7675.199791
994	7674.663798
995	7673.610413
996	7672.716386
997	7666.953929
998	7660.773676
999	7660.258482
